date,canister_id,model,quant,layers_real,size_MB,tok_call,alpha_eff,prompt,status_tags,notes
2026-04-15,u2pva-3iaaa-aaaax-qaa7a-cai,SmolLM2-135M,Q4_0,30,87,97,1.53,short prompt ~8tok,runs=single_run; quality=verified; env=ssn_mainnet; build=build_sensitive; role=network_validation,SSN matches current local build (97); earlier 103 local row was historical
2026-04-15,u2pva-3iaaa-aaaax-qaa7a-cai,Gemma3-270M-IT,Q4_0,18,230,52,1.42,short prompt ~8tok,runs=single_run; quality=verified; env=ssn_mainnet; build=build_sensitive; role=network_validation,SSN vs current local -7% (52 vs 56)
2026-04-15,u2pva-3iaaa-aaaax-qaa7a-cai,Qwen2.5-0.5B,Q4_0,24,336,30,1.35,short prompt ~8tok,runs=single_run; quality=verified; env=ssn_mainnet; build=build_sensitive; role=network_validation,SSN vs current local -3% (30 vs 31)
2026-04-15,u2pva-3iaaa-aaaax-qaa7a-cai,Qwen3.5-0.8B,Q4_0,24,484,13,1.97,short prompt ~8tok,runs=single_run; quality=verified; env=ssn_mainnet; build=build_specific; role=network_validation,SSN only — crashes ICP mainnet
2026-04-15,u2pva-3iaaa-aaaax-qaa7a-cai,Qwen3.5-0.8B,TQ2_0,24,334,18,,short prompt ~8tok,runs=single_run; quality=invalid; env=ssn_mainnet; build=build_specific; role=negative_result,ternary SIMD full model — throughput valid; quality INVALID
2026-04-15,u2pva-3iaaa-aaaax-qaa7a-cai,Qwen3.5-0.8B,IQ2_XXS,24,323,5,,short prompt ~8tok,runs=single_run; quality=not_checked; env=ssn_mainnet; build=build_specific; role=negative_result,contre-productif — pas de kernel SIMD; likely garbage / not quality-tested
2026-04-15,u2pva-3iaaa-aaaax-qaa7a-cai,Qwen3.5-0.8B-21L,Q4_0,21,445,18,,short prompt ~8tok,runs=single_run; quality=invalid; env=ssn_mainnet; build=build_specific; role=negative_result,pruned 21L (mislabeled 30L in old files) — throughput valid; quality INVALID
2026-04-15,u2pva-3iaaa-aaaax-qaa7a-cai,Qwen3.5-0.8B-12L,Q4_0,12,344,20,,short prompt ~8tok,runs=single_run; quality=invalid; env=ssn_mainnet; build=build_specific; role=negative_result,pruned 12L (mislabeled 24L in old files) — throughput valid; quality INVALID
2026-04-15,u2pva-3iaaa-aaaax-qaa7a-cai,Qwen3.5-0.8B-12L,TQ2_0,12,271,25,,short prompt ~8tok,runs=single_run; quality=invalid; env=ssn_mainnet; build=build_specific; role=negative_result,+92% vs Q4_0 baseline; RETRACTED: quality INVALID
2026-04-15,7ezh6-aaaaa-aaaax-qabaq-cai,Falcon-H1-Tiny-90M,Q8_0,24,94,199,,short prompt ~8tok,runs=single_run; quality=limited; env=ssn_mainnet; build=build_specific; role=network_validation,SSN-only build-specific row — not reproduced on current local gian build; quality limited
2026-04-15,u2pva-3iaaa-aaaax-qaa7a-cai,EmbeddingGemma-300M,Q4_0,,212,126_input,0.53,various FR/EN texts,runs=single_run; quality=verified; env=ssn_mainnet; build=build_specific; role=systems_demo,native in-consensus embedding deployment; system demonstration only; not a priority claim. SSN avg 7.8s (variable). 768d output
2026-04-20,u2pva-3iaaa-aaaax-qaa7a-cai,SmolLM2-135M,BASE-Q8_0,30,145,95,1.56,short prompt ~8tok,runs=3_reps; quality=verified; env=ssn_mainnet; build=phase_2_wasm; role=c2_cross_env_validation,"Paper 1.5 C2 winner cross-env; local=97, SSN=95 (-2%); wall 8.78/8.71/9.26s CV=3.2%; byte-exact across reps"
2026-04-20,u2pva-3iaaa-aaaax-qaa7a-cai,Qwen2.5-0.5B,BASE-Q8_0,24,531,28,1.43,short prompt ~8tok,runs=3_reps; quality=verified; env=ssn_mainnet; build=phase_2_wasm; role=c2_cross_env_validation,"Paper 1.5 C2 winner cross-env; local=30, SSN=28 (-6.7%); wall 8.89/8.89/8.71s CV=1.2%; byte-exact across reps; load requires -c 512 -b 512 (heap-OOB at default ctx=32768)"
2026-04-20,u2pva-3iaaa-aaaax-qaa7a-cai,Qwen2.5-0.5B,BASE-Q8_0,24,531,10_turns,,chat demo opener "Elric the blacksmith",runs=10_turns_multicall; quality=verified; env=ssn_mainnet; build=phase_2_wasm; role=c3_multicall_ssn_validation,"Paper 1.5 C3 SSN demo; 10/10 turns completed 100 tokens cumulative 41.12s total wall; narrative coherent across calls; byte-consistent state on 13-node consensus"
