session_id,model_id,kv_cache_type,n_calls,tokens_per_call,total_tokens,wall_clock_s,total_cycles,io_overhead_write_inst,io_overhead_read_inst,reattach_latency_ms,bit_exact_vs_singlecall,timestamp_utc,notes
c3-ioover-qwen05-n1,Qwen2.5-0.5B,f16,1,1,10,4.58,,35877338,0,,,2026-04-20T17:46:49+00:00,save_i_bytes=123653;save_t_bytes=123653;save_i_tokens=10;save_t_tokens=10;load_tokens=0;load_bytes=-1;mode=fresh
c3-ioover-qwen05-n5,Qwen2.5-0.5B,f16,1,5,14,6.79,,40282639,0,,,2026-04-20T17:47:01+00:00,save_i_bytes=123653;save_t_bytes=172869;save_i_tokens=10;save_t_tokens=14;load_tokens=0;load_bytes=-1;mode=fresh
c3-ioover-qwen05-n10,Qwen2.5-0.5B,f16,1,10,19,8.95,,44648698,0,,,2026-04-20T17:47:15+00:00,save_i_bytes=123653;save_t_bytes=234389;save_i_tokens=10;save_t_tokens=19;load_tokens=0;load_bytes=-1;mode=fresh
c3-ioover-qwen05-n15,Qwen2.5-0.5B,f16,1,15,24,11.28,,49779767,0,,,2026-04-20T17:47:31+00:00,save_i_bytes=123653;save_t_bytes=295909;save_i_tokens=10;save_t_tokens=24;load_tokens=0;load_bytes=-1;mode=fresh
c3-ioover-qwen05-n20,Qwen2.5-0.5B,f16,1,20,29,13.46,,53986888,0,,,2026-04-20T17:47:49+00:00,save_i_bytes=123653;save_t_bytes=357429;save_i_tokens=10;save_t_tokens=29;load_tokens=0;load_bytes=-1;mode=fresh
c3-ioover-qwen05-mc-step1,Qwen2.5-0.5B,f16,1,15,24,11.22,,49893478,0,,,2026-04-20T17:48:05+00:00,save_i_bytes=123653;save_t_bytes=295909;save_i_tokens=10;save_t_tokens=24;load_tokens=0;load_bytes=-1;mode=continue
c3-ioover-qwen05-mc-step2,Qwen2.5-0.5B,f16,1,15,24,8.92,,44773789,425546749,,,2026-04-20T17:48:16+00:00,save_i_bytes=-1;save_t_bytes=308209;save_i_tokens=0;save_t_tokens=24;load_tokens=24;load_bytes=295909;mode=continue
c3-ioover-qwen05-mc-step3,Qwen2.5-0.5B,f16,1,15,24,9.00,,43464626,425644580,,,2026-04-20T17:48:28+00:00,save_i_bytes=-1;save_t_bytes=308209;save_i_tokens=0;save_t_tokens=24;load_tokens=24;load_bytes=308209;mode=continue
c3-ioover-qwen05-mc-step4,Qwen2.5-0.5B,f16,1,15,24,8.97,,43541546,425744886,,,2026-04-20T17:48:39+00:00,save_i_bytes=-1;save_t_bytes=308209;save_i_tokens=0;save_t_tokens=24;load_tokens=24;load_bytes=308209;mode=continue
c3-ioover-qwen05-mc-step5,Qwen2.5-0.5B,f16,1,15,24,8.94,,43588402,425639466,,,2026-04-20T17:48:50+00:00,save_i_bytes=-1;save_t_bytes=308209;save_i_tokens=0;save_t_tokens=24;load_tokens=24;load_bytes=308209;mode=continue
c3-reattach-qwen05-rep1-cold,Qwen2.5-0.5B,f16,1,3,3,2.387,,,,2386.9,,2026-04-20T18:00:53+00:00,first-run_update-after-stop-start;cache_tokens=24;includes-load_model-+-state-load
c3-reattach-qwen05-rep1-warm,Qwen2.5-0.5B,f16,1,3,3,2.335,,,,2334.7,,2026-04-20T18:00:56+00:00,second-run_update-after-restart;reference-warm-no-reattach;cache_tokens=27
c3-reattach-qwen05-rep2-cold,Qwen2.5-0.5B,f16,1,3,3,2.388,,,,2387.6,,2026-04-20T18:01:01+00:00,first-run_update-after-stop-start;cache_tokens=24;includes-load_model-+-state-load
c3-reattach-qwen05-rep2-warm,Qwen2.5-0.5B,f16,1,3,3,2.303,,,,2303.0,,2026-04-20T18:01:03+00:00,second-run_update-after-restart;reference-warm-no-reattach;cache_tokens=27
c3-reattach-qwen05-rep3-cold,Qwen2.5-0.5B,f16,1,3,3,2.467,,,,2467.5,,2026-04-20T18:01:08+00:00,first-run_update-after-stop-start;cache_tokens=24;includes-load_model-+-state-load
c3-reattach-qwen05-rep3-warm,Qwen2.5-0.5B,f16,1,3,3,2.307,,,,2307.1,,2026-04-20T18:01:10+00:00,second-run_update-after-restart;reference-warm-no-reattach;cache_tokens=27
c3-reattach-qwen05-rep4-cold,Qwen2.5-0.5B,f16,1,3,3,2.357,,,,2357.3,,2026-04-20T18:01:15+00:00,first-run_update-after-stop-start;cache_tokens=24;includes-load_model-+-state-load
c3-reattach-qwen05-rep4-warm,Qwen2.5-0.5B,f16,1,3,3,2.316,,,,2315.9,,2026-04-20T18:01:18+00:00,second-run_update-after-restart;reference-warm-no-reattach;cache_tokens=27
c3-reattach-qwen05-rep5-cold,Qwen2.5-0.5B,f16,1,3,3,2.373,,,,2373.1,,2026-04-20T18:01:22+00:00,first-run_update-after-stop-start;cache_tokens=24;includes-load_model-+-state-load
c3-reattach-qwen05-rep5-warm,Qwen2.5-0.5B,f16,1,3,3,2.314,,,,2314.3,,2026-04-20T18:01:25+00:00,second-run_update-after-restart;reference-warm-no-reattach;cache_tokens=27
c3-ncall-qwen05-1call-fail,Qwen2.5-0.5B,f16,1,100,0,19.651,,,,,,2026-04-20T18:10:33+00:00,fail=IC0522-instruction-limit;expected-failure-mode;wall_includes_ic_overhead
c3-ncall-qwen05-Ncall-7x15,Qwen2.5-0.5B,f16,7,15,105,76.99,,,,,,2026-04-20T18:11:52+00:00,multi-call-success;tok_per_s=1.364;prompt=robot-paint-story;sum-of-per-call-wall
c3-ncall-qwen05-1call-nmax,Qwen2.5-0.5B,f16,1,20,20,11.123,,,,,,2026-04-20T18:12:04+00:00,single-call-reference-at-N_MAX;tok_per_s=1.798;prompt=robot-paint-story
c3-kvtype-qwen05-f16,Qwen2.5-0.5B,f16,1,20,20,13.431,,,,,,2026-04-20T18:20:02+00:00,N_MAX=20;tok_per_s=1.489;prompt=hi-cat;probes=10,15,20;90s-timeout;flag-accepted-not-effective-KV-allocated-at-load_model
c3-kvtype-qwen05-q8,Qwen2.5-0.5B,q8_0,1,20,20,10.941,,,,,,2026-04-20T18:20:35+00:00,N_MAX=20;tok_per_s=1.828;prompt=hi-cat;probes=10,15,20;90s-timeout;flag-no-op-output-bit-identical-to-f16
c3-kvtype-qwen05-q4,Qwen2.5-0.5B,q4_0,1,20,20,10.73,,,,,,2026-04-20T18:21:08+00:00,N_MAX=20;tok_per_s=1.864;prompt=hi-cat;probes=10,15,20;90s-timeout;flag-no-op-output-bit-identical-to-f16
c3-ssm-falcon-h1-step1,Falcon-H1-Tiny-90M,constant-state-ssm,1,15,15,5.939,,301163543,0,,,2026-04-20T18:52:36+00:00,save_i_bytes=5445409;save_t_bytes=5617665;save_i_tokens=38;save_t_tokens=52;load_tokens=0;load_bytes=-1;mode=fresh;ssm=hybrid-mamba-transformer
c3-ssm-falcon-h1-step2,Falcon-H1-Tiny-90M,constant-state-ssm,1,15,15,2.993,,311880388,104518822,,,2026-04-20T18:52:36+00:00,save_i_bytes=-1;save_t_bytes=5789921;save_i_tokens=0;save_t_tokens=66;load_tokens=52;load_bytes=5617665;mode=continue;ssm=hybrid-mamba-transformer
c3-ssm-falcon-h1-step3,Falcon-H1-Tiny-90M,constant-state-ssm,1,15,15,3.012,,320384720,107066201,,,2026-04-20T18:52:36+00:00,save_i_bytes=-1;save_t_bytes=5962177;save_i_tokens=0;save_t_tokens=80;load_tokens=66;load_bytes=5789921;mode=continue;ssm=hybrid-mamba-transformer
c3-ssm-falcon-h1-step4,Falcon-H1-Tiny-90M,constant-state-ssm,1,15,15,3.072,,323907725,109523464,,,2026-04-20T18:52:36+00:00,save_i_bytes=-1;save_t_bytes=6134433;save_i_tokens=0;save_t_tokens=94;load_tokens=80;load_bytes=5962177;mode=continue;ssm=hybrid-mamba-transformer
c3-ssm-falcon-h1-step5,Falcon-H1-Tiny-90M,constant-state-ssm,1,15,15,3.148,,331449562,111977696,,,2026-04-20T18:52:36+00:00,save_i_bytes=-1;save_t_bytes=6306689;save_i_tokens=0;save_t_tokens=108;load_tokens=94;load_bytes=6134433;mode=continue;ssm=hybrid-mamba-transformer
c3-chat-qwen05-turn1,Qwen2.5-0.5B,f16,1,10,10,9.878,,-1,0,,,2026-04-20T20:07:25+00:00,save_i_bytes=-1;save_t_bytes=-1;save_i_tokens=-1;save_t_tokens=-1;load_tokens=-1;load_bytes=-1;mode=fresh;turn=1/10;chat-demo-pivot-qwen05
c3-chat-qwen05-turn2,Qwen2.5-0.5B,f16,1,10,10,7.39,,-1,0,,,2026-04-20T20:07:25+00:00,save_i_bytes=-1;save_t_bytes=-1;save_i_tokens=-1;save_t_tokens=-1;load_tokens=-1;load_bytes=-1;mode=continue;turn=2/10;chat-demo-pivot-qwen05
c3-chat-qwen05-turn3,Qwen2.5-0.5B,f16,1,10,10,7.276,,-1,0,,,2026-04-20T20:07:25+00:00,save_i_bytes=-1;save_t_bytes=-1;save_i_tokens=-1;save_t_tokens=-1;load_tokens=-1;load_bytes=-1;mode=continue;turn=3/10;chat-demo-pivot-qwen05
c3-chat-qwen05-turn4,Qwen2.5-0.5B,f16,1,10,10,7.17,,-1,0,,,2026-04-20T20:07:25+00:00,save_i_bytes=-1;save_t_bytes=-1;save_i_tokens=-1;save_t_tokens=-1;load_tokens=-1;load_bytes=-1;mode=continue;turn=4/10;chat-demo-pivot-qwen05
c3-chat-qwen05-turn5,Qwen2.5-0.5B,f16,1,10,10,7.026,,-1,0,,,2026-04-20T20:07:25+00:00,save_i_bytes=-1;save_t_bytes=-1;save_i_tokens=-1;save_t_tokens=-1;load_tokens=-1;load_bytes=-1;mode=continue;turn=5/10;chat-demo-pivot-qwen05
c3-chat-qwen05-turn6,Qwen2.5-0.5B,f16,1,10,10,7.072,,-1,0,,,2026-04-20T20:07:25+00:00,save_i_bytes=-1;save_t_bytes=-1;save_i_tokens=-1;save_t_tokens=-1;load_tokens=-1;load_bytes=-1;mode=continue;turn=6/10;chat-demo-pivot-qwen05
c3-chat-qwen05-turn7,Qwen2.5-0.5B,f16,1,10,10,6.791,,-1,0,,,2026-04-20T20:07:25+00:00,save_i_bytes=-1;save_t_bytes=-1;save_i_tokens=-1;save_t_tokens=-1;load_tokens=-1;load_bytes=-1;mode=continue;turn=7/10;chat-demo-pivot-qwen05
c3-chat-qwen05-turn8,Qwen2.5-0.5B,f16,1,10,10,6.683,,-1,0,,,2026-04-20T20:07:25+00:00,save_i_bytes=-1;save_t_bytes=-1;save_i_tokens=-1;save_t_tokens=-1;load_tokens=-1;load_bytes=-1;mode=continue;turn=8/10;chat-demo-pivot-qwen05
c3-chat-qwen05-turn9,Qwen2.5-0.5B,f16,1,10,10,6.565,,-1,0,,,2026-04-20T20:07:25+00:00,save_i_bytes=-1;save_t_bytes=-1;save_i_tokens=-1;save_t_tokens=-1;load_tokens=-1;load_bytes=-1;mode=continue;turn=9/10;chat-demo-pivot-qwen05
c3-chat-qwen05-turn10,Qwen2.5-0.5B,f16,1,10,10,6.505,,-1,0,,,2026-04-20T20:07:25+00:00,save_i_bytes=-1;save_t_bytes=-1;save_i_tokens=-1;save_t_tokens=-1;load_tokens=-1;load_bytes=-1;mode=continue;turn=10/10;chat-demo-pivot-qwen05
