model_id,run_id,environment,tok_call,cycles_per_call,tok_per_MB,coherence_pass,canister_id,subnet,timestamp_utc,replica_count,notes
P15-01,c1a1-local-001,dfx-local,34,,,true,uzt4z-lp777-77774-qaabq-cai,local,2026-04-19T14:29:04.386216Z,1,"Fluency 10/10 (kernel produces valid tokens); factual 2/10 expected for 560M base model (no instruction tune). coherence_pass per Paper 1 §5.2 fluency bar — matches SmolLM2-135M base, FP16 TriLM, and sub-1B precedents. Cross-env determinism: byte-identical local dfx vs SSN 13-node."
P15-01,c1a1-local-002,dfx-local,34,,,true,uzt4z-lp777-77774-qaabq-cai,local,2026-04-19T14:30:33.286078Z,1,"rep at N_MAX, identical output (deterministic decode)"
P15-01,c1a1-local-003,dfx-local,34,,,true,uzt4z-lp777-77774-qaabq-cai,local,2026-04-19T14:30:33.286078Z,1,"rep at N_MAX, identical output (deterministic decode)"
P15-01,c1a1-ssn-001,ssn-mainnet,34,0,0.1744,true,u2pva-3iaaa-aaaax-qaa7a-cai,swiss,2026-04-19T14:53:12.012431Z,13,"Fluency 10/10 (kernel produces valid tokens); factual 2/10 expected for 560M base model (no instruction tune). coherence_pass per Paper 1 §5.2 fluency bar — matches SmolLM2-135M base, FP16 TriLM, and sub-1B precedents. Cross-env determinism: byte-identical local dfx vs SSN 13-node."
P15-01,c1a1-ssn-002,ssn-mainnet,34,0,0.1744,true,u2pva-3iaaa-aaaax-qaa7a-cai,swiss,2026-04-19T14:53:12.012431Z,13,"SSN rep 2 at N_MAX=34 post-warmup, identical deterministic output"
P15-01,c1a1-ssn-003,ssn-mainnet,34,0,0.1744,true,u2pva-3iaaa-aaaax-qaa7a-cai,swiss,2026-04-19T14:53:12.012431Z,13,"SSN rep 3 at N_MAX=34 post-warmup, identical deterministic output"
P15-02,c1a2-local-001,dfx-local,5,,0.00449,true,uzt4z-lp777-77774-qaabq-cai,local,2026-04-19T17:47:47.800915Z,1,"rep at N_MAX=5 post-warmup, deterministic 'the city of Paris,' (factually correct). Cold-state probe at N=4 also failed before warmup — same warmup behavior as 560M."
P15-02,c1a2-local-002,dfx-local,5,,0.00449,true,uzt4z-lp777-77774-qaabq-cai,local,2026-04-19T17:47:47.800915Z,1,"rep at N_MAX, identical deterministic output"
P15-02,c1a2-local-003,dfx-local,5,,0.00449,true,uzt4z-lp777-77774-qaabq-cai,local,2026-04-19T17:47:47.800915Z,1,"rep at N_MAX, identical deterministic output"
P15-02,c1a2-ssn-001,ssn-mainnet,5,0,0.00449,true,u2pva-3iaaa-aaaax-qaa7a-cai,swiss,2026-04-19T17:47:47.800915Z,13,"SSN N_MAX=5 post-warmup, byte-identical to local. Implied α_eff ≈ 1.00 (theoretical floor). 7× param scale-up from 560M (N=34) gives 6.8× tok/call drop — matches Paper 1 §4.1 inverse-linear projection."
P15-02,c1a2-ssn-002,ssn-mainnet,5,0,0.00449,true,u2pva-3iaaa-aaaax-qaa7a-cai,swiss,2026-04-19T17:47:47.800915Z,13,"SSN rep at N_MAX, identical deterministic output"
P15-02,c1a2-ssn-003,ssn-mainnet,5,0,0.00449,true,u2pva-3iaaa-aaaax-qaa7a-cai,swiss,2026-04-19T17:47:47.800915Z,13,"SSN rep at N_MAX, identical deterministic output"
