operation,calls,instructions,pct_of_total,total_instructions,model,quant
ADD,1440,19872864,0.1,15372257651,Qwen2.5-0.5B,Q4_0
MUL,588,12085164,0.1,15372257651,Qwen2.5-0.5B,Q4_0
RMS_NORM,588,11373684,0.1,15372257651,Qwen2.5-0.5B,Q4_0
MUL_MAT,2028,15136798203,98.5,15372257651,Qwen2.5-0.5B,Q4_0
CPY,12,63600,0.0,15372257651,Qwen2.5-0.5B,Q4_0
GET_ROWS,36,169536,0.0,15372257651,Qwen2.5-0.5B,Q4_0
SET_ROWS,576,1672704,0.0,15372257651,Qwen2.5-0.5B,Q4_0
ROPE,576,9929520,0.1,15372257651,Qwen2.5-0.5B,Q4_0
FLASH_ATTN_EXT,288,180292376,1.2,15372257651,Qwen2.5-0.5B,Q4_0
ADD,576,16708032,0.1,13176561264,TriLM-560M,TQ2_0
MUL,588,17052588,0.1,13176561264,TriLM-560M,TQ2_0
RMS_NORM,588,16051812,0.1,13176561264,TriLM-560M,TQ2_0
MUL_MAT,2028,12831222144,97.4,13176561264,TriLM-560M,TQ2_0
CPY,12,63600,0.0,13176561264,TriLM-560M,TQ2_0
GET_ROWS,36,683364,0.0,13176561264,TriLM-560M,TQ2_0
SET_ROWS,576,13782528,0.1,13176561264,TriLM-560M,TQ2_0
ROPE,576,23590176,0.2,13176561264,TriLM-560M,TQ2_0
FLASH_ATTN_EXT,288,257407020,2.0,13176561264,TriLM-560M,TQ2_0
CONCAT,96,15002304,0.2,0,LFM2.5-230M,Q8_0
RMS_NORM,492,10434756,0.1,0,LFM2.5-230M,Q8_0
MUL_MAT,996,6911861536,97.9,0,LFM2.5-230M,Q8_0
SCALE,96,21024,0.0,0,LFM2.5-230M,Q8_0
CPY,204,9384912,0.1,0,LFM2.5-230M,Q8_0
GET_ROWS,228,1151472,0.0,0,LFM2.5-230M,Q8_0
SET_ROWS,144,1427328,0.0,0,LFM2.5-230M,Q8_0
ROPE,144,4982004,0.1,0,LFM2.5-230M,Q8_0
FLASH_ATTN_EXT,72,72587912,1.0,0,LFM2.5-230M,Q8_0
SSM_CONV,96,11055360,0.2,0,LFM2.5-230M,Q8_0
MUL,1164,40177644,0.3,0,Mamba-370M,Q8_0
CONCAT,576,215056512,1.4,0,Mamba-370M,Q8_0
RMS_NORM,588,12933060,0.1,0,Mamba-370M,Q8_0
MUL_MAT,2316,11588855844,75.2,0,Mamba-370M,Q8_0
SCALE,1152,252288,0.0,0,Mamba-370M,Q8_0
CPY,2304,201559104,1.3,0,Mamba-370M,Q8_0
CONT,576,5126976,0.0,0,Mamba-370M,Q8_0
GET_ROWS,1764,16700208,0.1,0,Mamba-370M,Q8_0
SSM_CONV,576,122955264,0.8,0,Mamba-370M,Q8_0
SSM_SCAN,576,3119312234,20.2,0,Mamba-370M,Q8_0
ADD,720,9733680,0.2,4371921229,SmolLM2-135M,Q8_0
MUL,732,9891516,0.2,4371921229,SmolLM2-135M,Q8_0
RMS_NORM,732,9305916,0.2,4371921229,SmolLM2-135M,Q8_0
MUL_MAT,2532,4181739437,95.6,4371921229,SmolLM2-135M,Q8_0
CPY,12,63600,0.0,4371921229,SmolLM2-135M,Q8_0
GET_ROWS,36,116136,0.0,4371921229,SmolLM2-135M,Q8_0
SET_ROWS,720,2931840,0.1,4371921229,SmolLM2-135M,Q8_0
ROPE,720,13054080,0.3,4371921229,SmolLM2-135M,Q8_0
FLASH_ATTN_EXT,360,145085024,3.3,4371921229,SmolLM2-135M,Q8_0
